TOKEN                : LEXEME
-----------------------------------
TYPE_INT             : purno
ID                   : x
ASSIGN               : =
INT                  : 10
SEMICOLON            : ;
TYPE_INT             : purno
ID                   : y
ASSIGN               : =
INT                  : 5
SEMICOLON            : ;
TYPE_FLOAT           : dosomik
ID                   : pi
ASSIGN               : =
FLOAT                : 3.14159
SEMICOLON            : ;
TYPE_CHAR            : chinho
ID                   : grade
ASSIGN               : =
CHAR                 : 'A'
SEMICOLON            : ;
BANAW                : banaw
TYPE_INT             : purno
ID                   : jog_fol
LPAREN               : (
TYPE_INT             : purno
ID                   : a
COMMA                : ,
TYPE_INT             : purno
ID                   : b
RPAREN               : )
SHURU                : shuru
FEROT                : ferot
ID                   : a
ADD                  : jog
ID                   : b
SEMICOLON            : ;
SHESH                : shesh
BANAW                : banaw
TYPE_INT             : purno
ID                   : biyog_fol
LPAREN               : (
TYPE_INT             : purno
ID                   : a
COMMA                : ,
TYPE_INT             : purno
ID                   : b
RPAREN               : )
SHURU                : shuru
FEROT                : ferot
ID                   : a
SUB                  : biyog
ID                   : b
SEMICOLON            : ;
SHESH                : shesh
TYPE_INT             : purno
MAIN                 : main
LPAREN               : (
RPAREN               : )
SHURU                : shuru
TYPE_INT             : purno
ID                   : result
SEMICOLON            : ;
TYPE_INT             : purno
ID                   : counter
SEMICOLON            : ;
JODI                 : jodi
LPAREN               : (
ID                   : x
GT                   : >
ID                   : y
RPAREN               : )
SHURU                : shuru
PRINT                : dekhao
LPAREN               : (
STRING               : "x is greater"
RPAREN               : )
SEMICOLON            : ;
ID                   : result
ASSIGN               : =
ID                   : x
MUL                  : gun
INT                  : 2
SEMICOLON            : ;
SHESH                : shesh
NAHOLE               : nahole
SHURU                : shuru
PRINT                : dekhao
LPAREN               : (
STRING               : "y is greater or equal"
RPAREN               : )
SEMICOLON            : ;
ID                   : result
ASSIGN               : =
ID                   : y
MUL                  : gun
INT                  : 2
SEMICOLON            : ;
SHESH                : shesh
BARBAR               : barbar
LPAREN               : (
TYPE_INT             : purno
ID                   : i
ASSIGN               : =
INT                  : 0
SEMICOLON            : ;
ID                   : i
LT                   : <
INT                  : 10
SEMICOLON            : ;
ID                   : i
ASSIGN               : =
ID                   : i
ADD                  : jog
INT                  : 1
RPAREN               : )
SHURU                : shuru
PRINT                : dekhao
LPAREN               : (
ID                   : i
RPAREN               : )
SEMICOLON            : ;
ID                   : result
ASSIGN               : =
ID                   : result
ADD                  : jog
ID                   : i
SEMICOLON            : ;
SHESH                : shesh
ID                   : counter
ASSIGN               : =
INT                  : 0
SEMICOLON            : ;
GHURAO               : ghurao
LPAREN               : (
ID                   : counter
LT                   : <
INT                  : 5
RPAREN               : )
SHURU                : shuru
PRINT                : dekhao
LPAREN               : (
STRING               : "Counter: "
RPAREN               : )
SEMICOLON            : ;
PRINT                : dekhao
LPAREN               : (
ID                   : counter
RPAREN               : )
SEMICOLON            : ;
ID                   : counter
ASSIGN               : =
ID                   : counter
ADD                  : jog
INT                  : 1
SEMICOLON            : ;
SHESH                : shesh
TYPE_ARRAY           : array
TYPE_INT             : purno
ID                   : numbers
LBRACKET             : [
INT                  : 5
RBRACKET             : ]
SEMICOLON            : ;
ID                   : numbers
LBRACKET             : [
INT                  : 0
RBRACKET             : ]
ASSIGN               : =
INT                  : 100
SEMICOLON            : ;
ID                   : numbers
LBRACKET             : [
INT                  : 1
RBRACKET             : ]
ASSIGN               : =
INT                  : 200
SEMICOLON            : ;
TYPE_FLOAT           : dosomik
ID                   : sqrt_val
ASSIGN               : =
SQRT                 : root
LPAREN               : (
FLOAT                : 16.0
RPAREN               : )
SEMICOLON            : ;
TYPE_INT             : purno
ID                   : flag
ASSIGN               : =
TRUE                 : shotto
SEMICOLON            : ;
TYPE_INT             : purno
ID                   : check
ASSIGN               : =
FALSE                : mittha
SEMICOLON            : ;
JODI                 : jodi
LPAREN               : (
ID                   : x
EQ                   : ==
INT                  : 10
AND                  : &&
ID                   : y
NEQ                  : !=
INT                  : 0
RPAREN               : )
SHURU                : shuru
PRINT                : dekhao
LPAREN               : (
STRING               : "Conditions met"
RPAREN               : )
SEMICOLON            : ;
SHESH                : shesh
JODI                 : jodi
LPAREN               : (
ID                   : x
GE                   : >=
ID                   : y
OR                   : ||
ID                   : flag
EQ                   : ==
TRUE                 : shotto
RPAREN               : )
SHURU                : shuru
PRINT                : dekhao
LPAREN               : (
STRING               : "Either condition true"
RPAREN               : )
SEMICOLON            : ;
SHESH                : shesh
BARBAR               : barbar
LPAREN               : (
TYPE_INT             : purno
ID                   : j
ASSIGN               : =
INT                  : 0
SEMICOLON            : ;
ID                   : j
LT                   : <
INT                  : 20
SEMICOLON            : ;
ID                   : j
ASSIGN               : =
ID                   : j
ADD                  : jog
INT                  : 1
RPAREN               : )
SHURU                : shuru
JODI                 : jodi
LPAREN               : (
ID                   : j
EQ                   : ==
INT                  : 5
RPAREN               : )
SHURU                : shuru
CHALIYEJAO           : chaliyejao
SEMICOLON            : ;
SHESH                : shesh
JODI                 : jodi
LPAREN               : (
ID                   : j
EQ                   : ==
INT                  : 15
RPAREN               : )
SHURU                : shuru
BONDHO               : bondho
SEMICOLON            : ;
SHESH                : shesh
PRINT                : dekhao
LPAREN               : (
ID                   : j
RPAREN               : )
SEMICOLON            : ;
SHESH                : shesh
FEROT                : ferot
INT                  : 0
SEMICOLON            : ;
SHESH                : shesh
-----------------------------------
Total lines: 82
